name,lat,lon,alt,city,icao,iata
Total Rf Heliport,40.07080078,-74.93360138,11,Bensalem,00A,
Lowell Field,59.94919968,-151.6959991,450,Anchor Point,00AK,
Epps Airpark,34.8647995,-86.77030182,820,Harvest,00AL,
Newport Hospital & Clinic Heliport,35.6086998,-91.25489807,237,Newport,00AR,
Cordes Airport,34.30559921,-112.1650009,3810,Cordes,00AZ,
Goldstone /Gts/ Airport,35.3504982,-116.8880005,3038,Barstow,00CA,
Cass Field,40.62220001,-104.3440018,4830,Briggsdale,00CO,
Grass Patch Airport,28.64550018,-82.21900177,53,Bushnell,00FA,
Ringhaver Heliport,28.84659958,-82.34539795,25,Riverview,00FD,
River Oak Airport,27.23089981,-80.96920013,35,Okeechobee,00FL,
Lt World Airport,33.76750183,-84.06829834,700,Lithonia,00GA,
Caffrey Heliport,33.88420105,-84.73390198,957,Hiram,00GE,
Kaupulehu Heliport,19.83250046,-155.9819946,43,Kailua/Kona,00HI,
Delta Shores Airport,48.14530182,-116.2139969,2064,Clark Fork,00ID,
Bailey Generation Station Heliport,41.64450073,-87.12280273,600,Chesterton,00II,
Hammer Airport,41.97840118,-89.56040192,840,Polo,00IL,
St Mary Medical Center Heliport,41.51139832,-87.26059723,634,Hobart,00IN,
Hayenga's Cant Find Farms Airport,40.02560043,-89.12290192,820,Kings,00IS,
Hayden Farm Airport,38.72779846,-94.93049622,1100,Gardner,00KS,
Robbins Roost Airport,37.40940094,-84.61969757,1265,Stanford,00KY,
Shell Chemical East Site Heliport,30.191944,-90.980833,15,Gonzales,00LA,
Ac & R Components Heliport,39.66529846,-89.70559692,600,Chatham,00LL,
Lejeune Airport,30.13629913,-92.42939758,12,Esterwood,00LS,
Slater Field,38.75709915,-75.75379944,45,Federalsburg,00MD,
Dow Chemical Heliport,43.94940186,-86.41670227,588,Ludington,00MI,
Battle Lake Municipal Airport,46.29999924,-95.70030212,1365,Battle Lake,00MN,
Cooper Flying Service Airport,37.20280075,-94.41239929,970,Alba,00MO,
Sands Ranch Airport,48.53749847,-109.7050018,2600,Havre,00MT,
Bucks Airport,39.47320175,-75.18520355,105,Bridgeton,00N,
North Raleigh Airport,36.08520126,-78.37139893,348,Louisburg,00NC,
Colgate-Piscataway Heliport,40.52090073,-74.47460175,78,New Brunswick,00NJ,
Weiss Airfield,42.90010071,-77.49970245,1000,West Bloomfield,00NY,
Exit 3 Airport,41.59090042,-84.14219666,785,Wauseon,00OH,
Miami Valley Hospital Heliport,39.74530029,-84.18740082,905,Dayton,00OI,
Steel Systems Heliport,44.93289948,-123.1299973,195,Salem,00OR,
R J D Heliport,39.94889832,-75.74690247,402,Coatesville,00PA,
Ferrell Field,41.2995,-80.211111,1301,Mercer,00PN,
Thomas Field,40.37779999,-77.36530304,815,Loysville,00PS,
Mc Kenzie Bridge State Airport,44.18320084,-122.0889969,1620,Mc Kenzie Bridge,00S,
